"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","44RD","TimsFord","Winchester TN","40779.00","39899.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","44RG","TimsFord","Winchester TN","N/A","39899.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","45RD","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RM","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RK","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RM","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RP","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Sport","18'","N/A","48RD","TimsFord","Winchester TN","N/A","42999.00","2024-10-26"
"2024","Sea-Doo","Switch®","Sport","18'","N/A","48RE","TimsFord","Winchester TN","N/A","42999.00","2024-10-26"
"2024","Sea-Doo","Switch®","Sport","21'","N/A","48RK","TimsFord","Winchester TN","N/A","45399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Sport","21'","N/A","48RS","TimsFord","Winchester TN","N/A","46099.00","2024-10-26"
"2024","Sea-Doo","Switch®","Sport","21'","N/A","48RS","TimsFord","Winchester TN","N/A","46099.00","2024-10-26"
"2023","Bennington","20","SLG","20'","Yamaha 90hp VMax SHO","5999","TimsFord","Winchester TN","55800.00","43999.00","2024-10-26"
"2023","Bennington","20","SVL","20'","Yamaha 90hp VMax SHO","2615","TimsFord","Winchester TN","52551.00","41999.00","2024-10-26"
"2023","Bennington","20","SVSR","20'","Yamaha","4405","TimsFord","Winchester TN","54160.00","42999.00","2024-10-26"
"2023","Bennington","21","SSR","21'","Yamaha 115 HP VMax SHO","4818","TimsFord","Winchester TN","63657.00","49999.00","2024-10-26"
"2023","Bennington","22","SVSR","22'","Yamaha 115hp VMax SHO","5744","TimsFord","Winchester TN","63524.00","49999.00","2024-10-26"
"2023","Bennington","22","SXSB","22'","Yamaha 115hp VMax SHO","4398","TimsFord","Winchester TN","76866.00","59999.00","2024-10-26"
"2023","Bennington","""BLACKED","OUT""","27'","Yamaha 250hp VMax SHO","2774","TimsFord","Winchester TN","133951.00","119999.00","2024-10-26"
"2023","Lowe","Boats","SF194","19'","Mercury","3618","TimsFord","Winchester TN","61730.00","39999.00","2024-10-26"
"2023","Sylvan","820","Cruise","20'","Yamaha 90hp VMax SHO","89222","TimsFord","Winchester TN","49045.00","39999.00","2024-10-26"
"2025","Sea-Doo","Switch™","Cruise","21'","N/A","55SM","TimsFord","Winchester TN","N/A","54829.00","2024-10-26"
"2024","Bennington","188","SVL","18'","Yamaha 60hp","9660","TimsFord","Winchester TN","43170.00","39999.00","2024-10-26"
"2024","Bennington","N/A","20SVSB","20'","Yamaha 115hp VMax SHO","5012","TimsFord","Winchester TN","60990.00","59999.00","2024-10-26"
"2024","Bennington","22","SS","22'","Yamaha 150hp VMax SHO","7203","TimsFord","Winchester TN","N/A","78324.00","2024-10-26"
"2024","Bennington","22","SSR","22'","Yamaha","6060","TimsFord","Winchester TN","N/A","72718.00","2024-10-26"
"2024","Bennington","22","SVL","22'","Yamaha","2150","TimsFord","Winchester TN","N/A","66999.00","2024-10-26"
"2024","Bennington","22","SVSB","22'","Yamaha 115hp VMAX SHO","6062","TimsFord","Winchester TN","65834.00","64999.00","2024-10-26"
"2024","Bennington","24","SVSR","24'","Yamaha 150hp VMax SHO","7202","TimsFord","Winchester TN","N/A","74324.00","2024-10-26"
"2024","Sea-Doo","Switch®","Compact","13'","N/A","41RA","TimsFord","Winchester TN","26299.00","19999.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","44RD","TimsFord","Winchester TN","40779.00","39899.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","44RG","TimsFord","Winchester TN","N/A","39899.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","18'","N/A","45RD","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RM","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RK","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
"2024","Sea-Doo","Switch®","Cruise","21'","N/A","44RM","TimsFord","Winchester TN","N/A","43399.00","2024-10-26"
